az;el;distance
0.00;11.00;27
2.00;11.00;28
4.00;11.00;28
6.00;11.00;29
8.00;11.00;33
10.00;11.00;38
12.00;11.00;33
14.00;11.00;38
16.00;11.00;39
18.00;11.00;47
20.00;11.00;43
22.00;11.00;48
24.00;11.00;48
26.00;11.00;49
28.00;11.00;44
30.00;11.00;35
32.00;11.00;38
34.00;11.00;38
36.00;11.00;34
38.00;11.00;38
40.00;11.00;39
42.00;11.00;40
44.00;11.00;44
46.00;11.00;49
48.00;11.00;49
50.00;11.00;52
52.00;11.00;56
54.00;11.00;61
56.00;11.00;69
58.00;11.00;88
60.00;11.00;89
62.00;11.00;87
64.00;11.00;87
66.00;11.00;87
68.00;11.00;86
70.00;11.00;85
72.00;11.00;87
74.00;11.00;85
76.00;11.00;82
78.00;11.00;77
80.00;11.00;78
82.00;11.00;76
84.00;11.00;76
86.00;11.00;83
88.00;11.00;85
90.00;11.00;85
92.00;11.00;84
94.00;11.00;85
96.00;11.00;84
98.00;11.00;85
100.00;11.00;85
102.00;11.00;86
104.00;11.00;86
106.00;11.00;87
108.00;11.00;87
110.00;11.00;86
112.00;11.00;87
114.00;11.00;88
116.00;11.00;87
118.00;11.00;88
120.00;11.00;90
122.00;11.00;89
124.00;11.00;91
126.00;11.00;93
128.00;11.00;95
130.00;11.00;100
132.00;11.00;1
134.00;11.00;1
136.00;11.00;84
138.00;11.00;79
140.00;11.00;85
142.00;11.00;84
144.00;11.00;88
146.00;11.00;86
148.00;11.00;95
150.00;11.00;105
152.00;11.00;98
154.00;11.00;108
156.00;11.00;114
158.00;11.00;122
160.00;11.00;125
162.00;11.00;131
164.00;11.00;151
166.00;11.00;144
168.00;11.00;152
170.00;11.00;153
172.00;11.00;153
174.00;11.00;152
176.00;11.00;152
178.00;11.00;152
180.00;11.00;149
0.00;12.00;25
2.00;12.00;28
4.00;12.00;27
6.00;12.00;32
8.00;12.00;28
10.00;12.00;34
12.00;12.00;38
14.00;12.00;37
16.00;12.00;42
18.00;12.00;44
20.00;12.00;39
22.00;12.00;42
24.00;12.00;49
26.00;12.00;44
28.00;12.00;44
30.00;12.00;37
32.00;12.00;38
34.00;12.00;37
36.00;12.00;38
38.00;12.00;35
40.00;12.00;38
42.00;12.00;40
44.00;12.00;43
46.00;12.00;47
48.00;12.00;48
50.00;12.00;50
52.00;12.00;54
54.00;12.00;58
56.00;12.00;65
58.00;12.00;88
60.00;12.00;87
62.00;12.00;86
64.00;12.00;86
66.00;12.00;85
68.00;12.00;86
70.00;12.00;85
72.00;12.00;85
74.00;12.00;85
76.00;12.00;82
78.00;12.00;78
80.00;12.00;76
82.00;12.00;75
84.00;12.00;77
86.00;12.00;84
88.00;12.00;85
90.00;12.00;85
92.00;12.00;86
94.00;12.00;84
96.00;12.00;86
98.00;12.00;85
100.00;12.00;87
102.00;12.00;86
104.00;12.00;87
106.00;12.00;87
108.00;12.00;87
110.00;12.00;88
112.00;12.00;87
114.00;12.00;88
116.00;12.00;89
118.00;12.00;90
120.00;12.00;91
122.00;12.00;92
124.00;12.00;93
126.00;12.00;94
128.00;12.00;97
130.00;12.00;101
132.00;12.00;1
134.00;12.00;1
136.00;12.00;81
138.00;12.00;81
140.00;12.00;82
142.00;12.00;81
144.00;12.00;93
146.00;12.00;88
148.00;12.00;97
150.00;12.00;97
152.00;12.00;112
154.00;12.00;107
156.00;12.00;120
158.00;12.00;127
160.00;12.00;132
162.00;12.00;136
164.00;12.00;136
166.00;12.00;134
168.00;12.00;134
170.00;12.00;133
172.00;12.00;134
174.00;12.00;133
176.00;12.00;133
178.00;12.00;133
180.00;12.00;133
0.00;13.00;23
2.00;13.00;27
4.00;13.00;27
6.00;13.00;29
8.00;13.00;30
10.00;13.00;35
12.00;13.00;35
14.00;13.00;40
16.00;13.00;40
18.00;13.00;44
20.00;13.00;40
22.00;13.00;48
24.00;13.00;47
26.00;13.00;43
28.00;13.00;47
30.00;13.00;39
32.00;13.00;34
34.00;13.00;35
36.00;13.00;34
38.00;13.00;37
40.00;13.00;39
42.00;13.00;42
44.00;13.00;43
46.00;13.00;45
48.00;13.00;48
50.00;13.00;51
52.00;13.00;52
54.00;13.00;56
56.00;13.00;64
58.00;13.00;90
60.00;13.00;89
62.00;13.00;87
64.00;13.00;86
66.00;13.00;86
68.00;13.00;84
70.00;13.00;86
72.00;13.00;86
74.00;13.00;85
76.00;13.00;82
78.00;13.00;78
80.00;13.00;76
82.00;13.00;76
84.00;13.00;78
86.00;13.00;85
88.00;13.00;84
90.00;13.00;84
